Maker,Fuel Type,Vehicle Category,State,RTO Name,RTO Code,Year,Month,Sales
AUTOMOBILI LAMBORGHINI S.P.A,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
BMW INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
BYD INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
HONDA CARS INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
HYUNDAI MOTOR INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
JAGUAR LAND ROVER INDIA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
KIA INDIA PRIVATE LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
MAHINDRA & MAHINDRA LIMITED,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
MARUTI SUZUKI INDIA LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
MERCEDES-BENZ INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
MG MOTOR INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
NISSAN MOTOR INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
RENAULT INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
TATA MOTORS LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
TATA MOTORS PASSENGER VEHICLES LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
TATA PASSENGER ELECTRIC MOBILITY LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,CNG ONLY,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
AUTOMOBILI LAMBORGHINI S.P.A,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
BMW INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,5
BYD INDIA PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,2
HONDA CARS INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,1
HYUNDAI MOTOR INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,69
JAGUAR LAND ROVER INDIA LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
KIA INDIA PRIVATE LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,72
MAHINDRA & MAHINDRA LIMITED,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,242
MARUTI SUZUKI INDIA LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
MERCEDES-BENZ INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,3
MG MOTOR INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,3
NISSAN MOTOR INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
RENAULT INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
TATA MOTORS LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
TATA MOTORS PASSENGER VEHICLES LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,21
TATA PASSENGER ELECTRIC MOBILITY LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
TOYOTA KIRLOSKAR MOTOR PVT LTD,DIESEL,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,48
AUTOMOBILI LAMBORGHINI S.P.A,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
BMW INDIA PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
BYD INDIA PRIVATE LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
FCA INDIA AUTOMOBILES PRIVATE LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
HONDA CARS INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
HYUNDAI MOTOR INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
JAGUAR LAND ROVER INDIA LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
KIA INDIA PRIVATE LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
MAHINDRA & MAHINDRA LIMITED,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
MARUTI SUZUKI INDIA LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
MERCEDES-BENZ INDIA PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,11
MG MOTOR INDIA PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
NISSAN MOTOR INDIA PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
RENAULT INDIA PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
SKODA AUTO VOLKSWAGEN INDIA PVT LTD,DIESEL/HYBRID,MOTOR CAR,Punjab(96),RTO LUDHIANA,PB10,2024,JUN,0
